CustomerID,Recency,Frequency,Monetary
KH_10161,64,15,2139.23
KH_10277,39,20,1149.54
KH_10956,333,1,164.89
KH_10192,57,9,931.22
KH_10386,46,12,2273.35
KH_10806,246,11,513.65
KH_10414,73,4,832.54
KH_10492,105,10,700.7
KH_10344,12,19,1906.51
KH_10770,217,5,667.67
KH_10309,8,12,1569.3
KH_10662,191,5,381.83
KH_10131,3,33,3370.13
KH_10664,206,7,998.17
KH_10872,218,1,113.34
KH_10100,11,36,7728.07
KH_10373,30,15,1896.89
KH_10088,14,34,8877.11
KH_10459,41,6,970.21
KH_10331,10,24,1994.61
KH_10215,26,19,2631.18
KH_10467,53,9,1070.77
KH_10122,7,18,8659.61
KH_10615,42,9,355.81
KH_10021,21,23,5674.59
KH_10701,153,9,539.57
KH_10072,21,13,6396.4
KH_10107,23,45,3578.28
KH_10271,35,12,1828.89
KH_10861,239,1,73.75
KH_10436,88,8,389.06
KH_10103,10,53,5509.44
